Categoría,Nombre producto en Español,Nombre producto en Inglés,Descripción,Palabras claves,Link
Recaudos,Movimientos del convenio,Billers,"Conoce toda la información asociada al histórico de las transacciones de recaudo, con un limité máximo de tres meses, la información es centralizada, porque se obtiene información sin importar el core donde fue registrado el recaudo. Además, permitirá realizar la gestión sobre las facturas que el recaudador ha cargado en el sistema.","anular facturas, recaudos, recaudadores, movimientos, transacciones, recaudos",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-recaudos.aspx
MDM,Datos personales clientes,Customer Personal Data,"Consulta de los datos personales del cliente Colombia, tanto para persona jurídica como para persona natural.","Consulta datos personales, Consulta persona jurídica, Consulta persona natural, mdm, datos, cliente",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-MDM.aspx
MDM,Llavero de clientes,Customer Data,"Consulta la llave que identifica un cliente en los maestros de clientes (CIF, CRM, SALESFORCE, etc) facilitando la interacción con otros sistemas que manejen dichas llaves.","clientes, mdm, llavero, data",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-MDM.aspx
MDM,Datos de contacto del cliente,Customer Contact,Consultar la información de contacto del cliente.,"Datos del cliente, Contacto del cliente, Dirección, Celular, Telefono Fijo, Correo electrónico, Contactabilidad, mdm, cliente, contacto, datos",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-MDM.aspx
MDM,Relaicionados,Customer Relationships Data,"Consulta la información de las relaciones o vínculos del cliente, por ejemplo: referencia comercial, referencia personal, referencia familiar, abogado, ejecutivo de portafolio, entre otros.","Relacionados, Conyugue, Representante Legal, Accionistas, mdm, clientes",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-MDM.aspx
MDM,Datos de gestión comercial,Customer commercial Data,"Consulta la información referente a la gestión comercial del cliente Colombia, tanto Personas Naturales como Jurídicas","datos, mdm, clientes, gestión comercial, comercial",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-MDM.aspx
SUFI,Transacciones,Transactions,Proporciona a los clientes de Sufi la información relacionada con los movimientos o transacciones realizadas en uno de sus créditos,"sufi, transacciones sufi",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-Sufi.aspx
SUFI,Información de préstamos,Loans Information,"Muestra la información del crédito de un cliente de Sufi, como pago total, número de la obligación, tipo de crédito, fecha límite de pago.","sufi, préstamos, información préstamos",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-Sufi.aspx
Transversales cilco del crédito,Límite de créditos,Credit Limit,"Realiza la creación, consulta y redistribución de límites de endeudamiento según políticas internas de riesgos.","Limites de endeudamiento, creacion limites de endeudamiento, límites, enedudamiento, cartera, crear limites, creación de límites, creación límites",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-TransversalesCicloCredito.aspx
Tarjetas crédito,Tarjeta crédito,Credit Card,"Consulta, gestionar y aplicar novedades monetarias y no monetarias al producto Tarjetas de Crédito,","Afiliar, débito automático, Desafiliar, débito, automático, Modificar cuenta para débito automático, tarjetas, medios de pago, crédito, TC, tarjeta crédito, tarjetas crédito, listar tarjetas, planes de tarjetas, planes, código de seguridad, movimientos, medios de pago, tarjetas",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-creditodebitoaceptacion.aspx
